"fecha";"Run Fondo";"serie fondo";"intervalo_de_tiempo";"rentabilidad_acumulada"
2023-04-16;"8976";APV-AP;"3M";0.026456007450839758
2023-04-16;"8976";APV-AP;"6M";0.05430625931747679
2023-04-16;"8976";APV-AP;"1Y";0.10063595697613348
2023-04-16;"8976";APV-AP;YTD;0.03156122705000275
2023-04-17;"8976";APV-AP;"1M";0.009004910203005645
2023-04-17;"8976";APV-AP;"3M";0.026452602839881934
2023-04-17;"8976";APV-AP;"6M";0.05430972050425886
2023-04-17;"8976";APV-AP;"1Y";0.10077242630185568
2023-04-17;"8976";APV-AP;YTD;0.031858802172501255
2023-04-18;"8976";APV-AP;"1M";0.009004382530797495
2023-04-18;"8976";APV-AP;"3M";0.02644919778836119
2023-04-18;"8976";APV-AP;"6M";0.05431148581604073
2023-04-18;"8976";APV-AP;"1Y";0.1008972512217825
2023-04-18;"8976";APV-AP;YTD;0.032156469537752974
2023-04-19;"8976";APV-AP;"1M";0.009004577967932414
2023-04-19;"8976";APV-AP;"3M";0.026446250827301787
2023-04-19;"8976";APV-AP;"6M";0.054313616666459064
2023-04-19;"8976";APV-AP;"1Y";0.10101904856994315
2023-04-19;"8976";APV-AP;YTD;0.032454690359525085
2023-04-20;"8976";APV-AP;"1M";0.00900414000644112
2023-04-20;"8976";APV-AP;"3M";0.02644275066141888
2023-04-20;"8976";APV-AP;"6M";0.05431536962010708
2023-04-20;"8976";APV-AP;"1Y";0.10114019250626649
2023-04-20;"8976";APV-AP;YTD;0.03275254221028345
2023-04-21;"8976";APV-AP;"1M";0.00900424611635997
2023-04-21;"8976";APV-AP;"3M";0.026439247691298018
2023-04-21;"8976";APV-AP;"6M";0.05431711134173667
2023-04-21;"8976";APV-AP;"1Y";0.10126159818169667
2023-04-21;"8976";APV-AP;YTD;0.033050578546548914
2023-04-22;"8976";APV-AP;"1M";0.009003805259486075
2023-04-22;"8976";APV-AP;"3M";0.02643602406493417
2023-04-22;"8976";APV-AP;"6M";0.054318841840027554
2023-04-22;"8976";APV-AP;"1Y";0.10138304892513172
2023-04-22;"8976";APV-AP;YTD;0.033348799368321025
2023-04-23;"8976";APV-AP;"1M";0.00900363397731807
2023-04-23;"8976";APV-AP;"3M";0.02643307469454448
2023-04-23;"8976";APV-AP;"6M";0.054321046894706404
2023-04-23;"8976";APV-AP;"1Y";0.10150474127334297
2023-04-23;"8976";APV-AP;YTD;0.0336473891611071
2023-04-24;"8976";APV-AP;"1M";0.009003732036216183
2023-04-24;"8976";APV-AP;"3M";0.026430399340972688
2023-04-24;"8976";APV-AP;"6M";0.05432352775740279
2023-04-24;"8976";APV-AP;"1Y";0.10162678332992314
2023-04-24;"8976";APV-AP;YTD;0.033946347924906695
2023-04-25;"8976";APV-AP;"1M";0.009003377650237399
2023-04-25;"8976";APV-AP;"3M";0.02642754245697887
2023-04-25;"8976";APV-AP;"6M";0.05432581913008794
2023-04-25;"8976";APV-AP;"1Y";0.10174858532805353
2023-04-25;"8976";APV-AP;YTD;0.03424512220319942
2023-04-26;"8976";APV-AP;"1M";0.009004199500708632
2023-04-26;"8976";APV-AP;"3M";0.02642495695870517
2023-04-26;"8976";APV-AP;"6M";0.054328480109062216
2023-04-26;"8976";APV-AP;"1Y";0.10187083511649386
2023-04-26;"8976";APV-AP;YTD;0.0345443576952591
2023-04-27;"8976";APV-AP;"1M";0.009003662066051632
2023-04-27;"8976";APV-AP;"3M";0.026421910673339433
2023-04-27;"8976";APV-AP;"6M";0.05432897499596301
2023-04-27;"8976";APV-AP;"1Y";0.10199263838295902
2023-04-27;"8976";APV-AP;YTD;0.03484331645905869
2023-04-28;"8976";APV-AP;"1M";0.00900285196409989
2023-04-28;"8976";APV-AP;"3M";0.02641886374921909
2023-04-28;"8976";APV-AP;"6M";0.054329464493080515
2023-04-28;"8976";APV-AP;"1Y";0.10210540437340532
2023-04-28;"8976";APV-AP;YTD;0.0351423674656115
2023-04-29;"8976";APV-AP;"1M";0.009002493386758292
2023-04-29;"8976";APV-AP;"3M";0.026416092919278933
2023-04-29;"8976";APV-AP;"6M";0.05432993839901257
2023-04-29;"8976";APV-AP;"1Y";0.10221820640535029
2023-04-29;"8976";APV-AP;YTD;0.03544169520042484
2023-04-30;"8976";APV-AP;"1M";0.009002405410087233
2023-04-30;"8976";APV-AP;"3M";0.026413506529880948
2023-04-30;"8976";APV-AP;"6M";0.05433079782786798
2023-04-30;"8976";APV-AP;"1Y";0.10233116265773035
2023-04-30;"8976";APV-AP;YTD;0.0357412074207446
2023-05-01;"8976";APV-AP;"1M";0.008709353960750121
2023-05-01;"8976";APV-AP;"3M";0.02611086469639412
2023-05-01;"8976";APV-AP;"6M";0.05402683924484308
2023-05-01;"8976";APV-AP;"1Y";0.1024417463887648
2023-05-01;"8976";APV-AP;YTD;0.03604025842729763
